Tweet,Category
I hope they announce something different and exciting for the iPad tomorrow. It's just about time for me to get a new one #AppleEvent,positive
"Reading @daringfireball's prelude to tomorrow's Apple event, can't help but think @gruber is the new WSJ, Bloomberg, or NYT re: iPad news.",positive
Traded in the new computer to get an iPad. Uncle tells me new iPad will be announced tomorrow so prices should drop. http://t.co/3Xgg14mX62,positive
"Apple's Keynote is happening tomorrow at 3am!With the expected announcement of the iPhone 6S, new Apple TV and iPad who is waking up for it?",positive
Not Available,neutral
The only thing I'm looking forward to tomorrow is the new iPhone and iPad Pro,positive
what she gonna buy with $200? 1/4th of an ipad  https://t.co/SL79vF03CE,neutral
I hope I get my iPad tomorrow so I can stream the Apple Keynote Address in school,positive
Not Available,positive
"Does it really have iPad pro &amp; stylus, tomorrow will have answer!!!",positive
@Dennisd1971 if you are using an iPhone or iPad you may not be able to view it their youtube app.  Try on your computer.,neutral
"Tomorrow, #Apple better introduce an iPad large enough for me to stand on, with an app that'll transport me wherever I want to go. If not...",neutral
"But with a new iPad coming out, I may be able to snag an older iPad at a decent price.",positive
First day of school tomorrow which means it's also the first day of the season for RBI baseball on my iPad,positive
"are yall really mad that he's paying $200 to fix a broken iPad, don't yall have bigger problems to deal with  https://t.co/bDigQfbZOd",negative
And Apple goes gesture controlled gaming with Apple TV. Will the phone and iPad upgrades impress?  https://t.co/nAwH8kht9B,positive
"#Apple to unveil iPhone 6s, iPad today. For the first time they are releasing on Wednesday. All their earlier releases were on a Tuesday.",positive
When you have 3 1/2 tests tomorrow and a lab to do but your iPad is dead so you can't do shit :):):):):):),negative
Highly doubt that iPad will be covered during the #AppleEvent tomorrow. https://t.co/qndgNTztqa,negative
"So tomorrow is the big Apple event. What do you think we'll see, iPad Pro? An iPad Stylus? Curious to see what they bring.",positive
Not Available,neutral
"Checks 2.0 will not be submitted tomorrow, but I'll end up taking the extra time for a watch app, NC widget, iPad optimization, etc.",neutral
@LOHANTHONY my moms taking my iPad away tomorrow but it's worth it because I'm tweeting the KWEENT #ANTHONYCHAT,positive
"Which is more interesting unveil tomorrow? $AAPL 6s, Ipad, TV or $TM new Prius? I'm going with Prius.",positive
"To prepare for the #AppleEvent tomorrow I am reminiscing over legacy apple hardware including iPod 2nd Gen, iPhone 4, iPad 2. Get Pumped!",positive
"Sundays vlog is processing, Monday's is exporting... You know for having to do it all on a iPad is say I'm doing pretty good.",positive
@film_girl I'd buy the next iPad if they had Fassbender give the keynote tomorrow.,positive
I believe the new Twitter update comes in time before tomorrow event. Might be seeing deeper integration with iPad Pro? SplitScreen!? #iOS,positive
"Tomorrow, Apple Inc. will introduce the 6S, a new Apple TV and the iPad Pro.",positive
Accidentally left iPad sitting in the sun too long. Had to stash her in the freezer to cool down #whoops #straya,negative
Not Available,positive
"@Qantas hi, i've trying to contact quantas bu phone with no success since last thursday...i left an ipad in a plane, could you help me?",neutral
My dad just dramatically got upset at me for no reason but I was getting an iPad tomorrow so now what,negative
@pierce hahah. Excited for your live blog tomorrow. I know the rumors are strong but I remain dubious about the iPad pro being announced,positive
@Celeste_pewter I can't tell if it is working on my blog I will have to check tomorrow on the computer. I was using my iPad.,neutral
Why spec Noritz? We want to know! Submit a vid before Oct 31 explaining why &amp; you could win an iPad! http://t.co/QNPOTCjrK1 #NoritzPro,positive
I still doubt Apple will announce new iPad at tomorrow's event. Apple might dedicate most of the keynote on new Apple TV.,neutral
"@KimCummms I see. I hope it will survive. If not, you only have new when things break. Apple may announce a big size iPad tomorrow",positive
"ok so i want to cry like, my expected delivery date for my ipad is thursday which is AFTER i leave like this is the absolute worst",negative
Uniting until yours postexistence bandeau it may be take effect actuary out the ipad onwards from desktop verge...,neutral
"#Apple is expected to unveil 2 iPhones, an Apple TV &amp; a larger iPad. Watch the live stream tonight at 7pm here http://t.co/QwoJ0yway0 #tech",positive
"Should you upgrade from #Adobe #CS6 Suite? CS6 came out before the 1st iPad mini was released, in the same month Facebook bought Instagram!",neutral
"@daringfireball if Apple wants to sell me an iPad, they'd better announce it tomorrow",neutral
"#Apple to show the #iPhone6S, updates to the iPad, Apple TV and other products today http://t.co/2fSV8hScJa",neutral
1st u knew dat there wud b a lot of ppl chasing after harry so y'd u bring ur ipad w/ u U couldve just used ur phone https://t.co/5MSumtur1K,neutral
And 2nd it wasnt harrys fault that he had ran over your ipad so whyd you ask him to pay for the crack like wtf https://t.co/5MSumtM2qk,negative
Literally anxious abt the iPad pro announcement today. You gonna disappoint again Apple or is it srsly the 2nd last product I'll need from u,neutral
If your pupils can use an iPad better than you can then this course may well be ideal for you - http://t.co/8innWbrMqY,positive
Not Available,positive
1st he smashed someone's phone now ran over an iPad he hates you all https://t.co/Vxn34DDrk6,neutral
"Also, the iPhone 6S, 6S Plus and the new iPad will be coming out tomorrow morning! Will be checking out the highlights.",positive
@darebeark @alyaeldeeb12345 my memory  doesnt have more space. So i cant download it :( but i'll try to download it tomorrow from iPad,neutral
@garrettc Do you think it knows that in a couple of hours it may be one step closer to obsolescence (and outpaced by a giant iPad at that),neutral
Not Available,positive
Not Available,positive
Pausing on this day of my 31st year to yell at my ipad because pandora refuses to play the Carpenters' Superstar.,negative
Giant iPad anyone? Don't forget to check out the Apple Event at 1pm EST. #apple #charlotte http://t.co/uOVQhibSJ2 http://t.co/GVhKOJPUIJ,positive
Just $6.99 for the Hebrew Crash Course by Friday. Get Survival Phrases for the iPad or Mac: https://t.co/O4YGQFgtaa http://t.co/NczpkYotRo,neutral
"iPad Pro, Apple TV expected to take center stage Wednesday: It's that time of the year. For five years, Apple ... http://t.co/eHpn3KzylM",positive
Top 5 Gambling Apps for the iPad http://t.co/2JbwPxRzY8,neutral
Can't wait to see the iPad Plus .... #Apple #AppleEvent #TimCook  https://t.co/qiR5JjDdjp,positive
The Accounting Career Fair is this Friday! Be sure to engage with us by using #kubusfair--you might win an iPad mini!,neutral
"New iPhones, iPad Pro, and Apple TV on the way today at 10 A.M. (PDT)! #AppleEvent http://t.co/WLFT7hrxH8",positive
"I wanna go find the iPad so I can watch videos and train muh pokeymanz, rip iPod D:  tomorrow marks two weeks",neutral
Is that I am very excited to share on Instagram brings their app to iPad and redesigns the iWatch in November.,positive
wait...I may reconsider my decision to get surface pro 4 if ipad pro comes with a stylus with pressure sensitivity,neutral
#castleberryisd 5th grade iPad Deployment going well! Students are excited! http://t.co/hcPY5IR8ZM,positive
@mmmhotbreakfast @mickmolloy I can't stop hope the iPad goes flat I gotta work tomorrow. GO TIGES GO TIGES GO TIGES GO TIGES GO TIGES..,neutral
Happy Apple Fanboy Day! May the iPad be with you.,positive
It was fun to see the excitement on the 6th graders' faces. And some of them seem to be iPad pros already! https://t.co/YnZtTTyg4W,positive
1st gen iPad mini still going strong. Love that little guy.,positive
"Looking forward to the #AppleEvent today. It will make for interesting 4th Quarter results w/ an upgrade to the iPhone, iPad, and Apple TV",positive
Does he mean a tv or a giant iPad?  https://t.co/oITONF1nPq,neutral
Did he just spoil the iPad Pro?  https://t.co/4wQWl5RhA5,negative
Here comes the new Apple TV! And the iPad Pro. https://t.co/mItEONUDl4,positive
"@HARD8TIMES @BrokenGamezHD @BLACKB0ND @iamironwolf whys he flossin an iPhone 3G, original iPad an 5th gen MacBook like he got money lmao",negative
@MarkVonVegas It's the best. I can't wait to christen my new patio on September 26 with some coffee and RedZone on ipad.,positive
Who is ready for the iPad Pro? Today may be the day...,positive
Did you know you can split the keyboard on your iPad? I didn't. Here are some Ninja tricks for the iPad you may... http://t.co/RpzAoPo5vR,positive
Not Available,positive
"iPhone, iPad, or iPod touch, Mac with Safari, PC with Microsoft Edge on Windows 10 http://t.co/KbT0XSs0WC #AppleEvent",neutral
Not Available,negative
Not Available,positive
Not Available,neutral
"iPhone event recap video tonight, then Transloader for Mac app review on Saturday. Cool content coming up! :)",positive
"Golf with the dudes, no work, pool day, and the new iPhone announcement.. Tomorrow shall be a good day.",positive
When will the iPhone 6 price drop? Immediately after the sep 9th announcement or not? and how much will it drop?,neutral
"11 hours until Apple announces the iPhone 6S, here's what to expect: http://t.co/K1hTCDm6fI",positive
New iPhone announcement tonight. If I don't get one ordered tomorrow with @ThreeUK for my upgrade there will probably be tears.,positive
Not Available,positive
Who is as excited as I am about @APPLEOFFIClAL announcement tomorrow?  I haven't had a new iPhone since the 4S - I'm ready! #blogchat,positive
The new iPhone is announced tomorrow. I already want it,positive
"If you bought an iPhone today, you lost. New ones get introduced tomorrow.                             Don't lose, win.",neutral
"The 'numeracy map' just fits into an iPhone, bringing it alive, digitally! Search the AppStore, 1st level free. http://t.co/8HxVKGu8WI",positive
The new iPhone will be announced tonight at 1AM (10th Sept). Here's how to watch it live http://t.co/aFRlZFTPc5 http://t.co/JIhzZ3paAA,neutral
"While all eyes may be on the new iPhone today, this Apple product will be the most disruptive http://t.co/WIZnjgwOQn http://t.co/x8LHcVGju8",neutral
"Apple is hosting its annual splash on Wednesday to unveil a new version of its best product, the iPhone #Africapkenya http://t.co/hL17VGWRnL",positive
I'm so excited for the new iphone release tomorrow yas.,positive
Apple will be hosting its next iPhone reveal event on September 9 at 9AM PST. You can watch a live stream of the event at GameSpot's ...,neutral
"Today's the 9th? We've got some apple news coming, I just want to get on with it &amp; upgrade my iPhone.",neutral
Ready for the Keynote tomorrow. Is iPhone the right choice for me!? Next time on Dragon Ball Z,positive
Alex Gibney explains why his Steve Jobs documentary may cause you to put down your iPhone for good (via @Pocket) http://t.co/98tFA0lX2C,neutral
"Started the day listening to @theweeknd, new iPhone reveal later and the #NFL is back tomorrow. Happy hump day!",positive
Not Available,positive
"Today my doctor diagnosed me with a repetitive strain injury known as ""iPhone thumb"". May my social media use be a cautionary tale to all.",neutral
"Today Sept 9th Apple announces details on how iPhone will work with #Adblockers, #onlineadvertisers in the future.",positive
Beyond excited for the Apple Event tomorrow. Mostly for new Apple Watch bands as I'll be trying not to get the new iPhone.,positive
"New IPhone, it's a relegious day. https://t.co/ug29uE6zy1",positive
"Today's iPhone 6S event: Start time, where to watch the live blog and how to stream http://t.co/TZUjjgbA5c",neutral
"@talk2GLOBE hi, may i ask what are the requirements needed for the iphone 5s under plan 999?",neutral
If this new iPhone sounds like it'll suck after tomorrow's announcement then the joke's on me for saving up to get it.,negative
Trading Street: iPhone Change May Be How You'll Pay: Apple's biggest update to the iPhone may be how most cons... http://t.co/frOUvoV8nC,neutral
"I love Apple, despite the fact that I'm constantly dissing the iPhone. Really looking forward to tomorrow's event.",positive
"iPhone 6s: Everything you need to know!: Apple's event of the year, which is being held on September 9, has ma... http://t.co/LrIJS2reRb",positive
Not Available,neutral
"""Apple is expected to announce the iPhone 6S at 1PM tomorrow.""  Translation: At 1:00 PM tomorrow, the Internet will lose its shit.",positive
"With Apple expected to announce details of a new iPhone today, the timing may be right to sell your old smartphone. http://t.co/sQWHRSopJT",neutral
Prediction: I will have a status saying that I'll be buying the new iPhone by tomorrow morning. I've done that... http://t.co/bBoCXousDy,neutral
Not Available,neutral
@martinlmnt like what else can they offer honestly? I may just get another iPhone because I'm used to the OS,neutral
@truthhonk @sayhup I dropped my iPhone in the beer cooler on the beach yesterday so I gotta get a new one tomorrow,negative
Christmas in September! Apple's keynote on the upcoming iPhone is today at 10am Pacific!,positive
All the latest Sheffield Wednesday news on iPhone and iPad! http://t.co/G9Z3VUGWuH #SWFC,positive
Analyst suggests this may be the last big iPhone launch - with @jeremycontext http://t.co/vBPQ4CZRE6 via @pcr_online #AppleEvent,positive
Tech Tuesday: Apple launches new iPhone with 'Force Touch' http://t.co/jRUi50Nt7J #newiphone,positive
"@TechJohnson I can't wait. I need a new phone! And since #Samsung has abandoned the UK market, I'll be ordering an iPhone this Friday",positive
"If Apple is upgrading the camera on the iPhone 6s models, I seriously may upgrade...&amp; my phone isn't even 1yr old yet! #photographyproblems.",positive
"In Wednesday's #FirstFT - long reign the Queen, iPhone unveiling and more. Sign up at http://t.co/gDolGlrSv5 http://t.co/SIBupoDQu4",positive
@YMDgento it's gonna at least be a new iPhone event.  It's that time of year ago. The next iPhone comes out on/or around Sept 18th.,positive
Will I be getting a new iPhone this year? No. But my two older kids will. So I'm kind of curious about today. http://t.co/8BESuqrn0S,positive
So yeah.. back to the iEvent today. If Apple doesn't do low-cost iPhone 5C replacement model aka 6C then we may see peak iPhone within 12 mo,positive
'unique mark patterns made by the oil of the fingertip on the glass of the iPhone screen when using different apps' https://t.co/9ol8o1Mand,positive
Swanage - An Apple IPhone has been handed in @ Swanage Town Hall Office. Please come in and speak to us if you think it may be yours.,positive
Business Insider: RUMOUR: Siri may always be ready to respond to your voice on the next iPhone (AAPL): Apple t... http://t.co/NtqPBIlAby,positive
I really hope Apple weighs a cup of nuts on the iPhone 6S (9th Generation iPhone),positive
@Humzatariq2 iThink they may introduce the iphone 6S but my cuzzo said the AppleWatch Red and new macbook size,neutral
This the 1st year I've not been to excited about the new iPhone announcement but I'm stoked for the new Apple TV &amp; their streaming service,positive
@richdemuro would you PLEASE let us know when the iPhone 6s will be available for purchase? Hoping before the 17th of September. Thanks!!,positive
The new IPhone is expected to be unveiled today at 1pm. As well as a potential Apple TV. Watch it here #AppleEvent: http://t.co/joAIR6Y7Fj,positive
"So iPhone 6th generation has 3 models: 6, 6 Plus and 6S. If I can wait it out I'll get the 7.",positive
"7,000 seats for an Apple product announcement? iPhone is just upgrade. Apple/Siri TV may be big. I wonder who's playing? TayTay? Billy J.?",negative
Cracked my 1st iPhone ever and I'm so pissed ... Anyone know where I can get it fixed ASAP besides Apple,negative
Can't wait to see the new iPhone tomorrow. And final can update my apple watch to OS2,positive
I truthfully liked my galaxy better as a phone experience but the game/app market is better on iPhone.  https://t.co/Juxz9dU2Sv,neutral
Not Available,positive
My iphone wants to break... well it's about time. Isn't apples event tomorrow?,neutral
@chingucha no it'll launch with the new iPhone = on next friday not even coming friday because pre-orders,neutral
I expect to see news about a 32GB iPhone when I wake up tomorrow.,positive
Some folks wait for next Apple launch just so they can buy the new iPhone. And some wait just to buy a 2nd hand two gen old cheaper model.,neutral
this 10 year old on the bus tryina convince me he's got an iPhone 6 Plus and I'm sat here like https://t.co/rq0S3LFJtA,neutral
"@PurpleRaison @yvonnebambrick @UofT Come and get a free copy tomorrow Thursday at Wilcox and St. George. Sorry, can't fit it in the Iphone.",neutral
"""The iPhone 6S, the greatest thing to ever exist since the iPhone 6."" *CROWD GOES WILD* @RashidMattar  https://t.co/RqTn6EiI8l",positive
Not Available,neutral
it's your last chance to take advantage of Gazelle's best price guarantee on iPhone trade-ins... http://t.co/WLycePxNjc,positive
Not Available,positive
Not Available,negative
Definitely watching the iPhone event today to see what I'll be upgrading to in February.,positive
Tomorrow is the day when rumours about the new iPhone Day after is the day when rumours about the next IPhone will start. Waiting for that,neutral
Color take on the head doodles from #WonderWoman Wednesday. From a while back -- only have the iPhone photo though: http://t.co/PfiuWzo1sP,positive
I do love my iPhone 6plus but I am definitely not a fan of the fact that I just accidentally sat on it and it is now another shape...,negative
Few more hours to iPhone 6s launch and im still using the 4th generation ^_^,positive
"My 9th Grade Art Teacher had her iPhone stolen from the classroom, someone took the SIM card out so she couldn't track it",negative
"Get the popcorn (or coffee in my case) ready, folks. 1 hour till the new iPhone event! Tuning in from #Asheville, NC. http://t.co/sTI3xeHGhV",positive
Not Available,positive
I'm eligible for an upgrade next Monday. Hopefully the new iPhone drops next Friday so I can go straight to Verizon after work.,positive
Minutes aways for the unvieling of iphone6splus or is it going to be Iphone 7??????!?!?!?!? http://t.co/fRltFMjkCK,positive
#apple A look at the evolution of Apple's iPhone: Apple will unveil the new iPhone on Wednesday. The next iPho... http://t.co/TEDe4E4fuA,positive
You're all talking about an iPhone event and I'm just sat here chatting about Tinder http://t.co/qBhOUGEjBM http://t.co/IBM9lJIoCI,neutral
"I turn 30 soon &amp; a friend went missing on a Tuesday nite, the other who has his iPhone doesn't know how to use it, &amp; I wasn't even there",negative
